512.9056 	INFO 	Scanner trigger received
513.8912 	INFO 	Scanner trigger received
514.8886 	INFO 	Scanner trigger received
515.8858 	INFO 	Scanner trigger received
516.8848 	INFO 	Scanner trigger received
517.8864 	INFO 	Scanner trigger received
518.8935 	INFO 	Scanner trigger received
519.8909 	INFO 	Scanner trigger received
520.8886 	INFO 	Scanner trigger received
521.8901 	INFO 	Scanner trigger received
522.8980 	INFO 	Scanner trigger received
523.8954 	INFO 	Scanner trigger received
524.8919 	INFO 	Scanner trigger received
525.8844 	INFO 	Scanner trigger received
526.9025 	INFO 	Scanner trigger received
527.8995 	INFO 	Scanner trigger received
528.8968 	INFO 	Scanner trigger received
529.8893 	INFO 	Scanner trigger received
530.9076 	INFO 	Scanner trigger received
531.9047 	INFO 	Scanner trigger received
532.9017 	INFO 	Scanner trigger received
533.8942 	INFO 	Scanner trigger received
534.9121 	INFO 	Scanner trigger received
535.9098 	INFO 	Scanner trigger received
536.9064 	INFO 	Scanner trigger received
537.8990 	INFO 	Scanner trigger received
538.8961 	INFO 	Scanner trigger received
539.9141 	INFO 	Scanner trigger received
540.9111 	INFO 	Scanner trigger received
541.9088 	INFO 	Scanner trigger received
542.9009 	INFO 	Scanner trigger received
543.8868 	INFO 	Scanner trigger received
544.9164 	INFO 	Scanner trigger received
545.9137 	INFO 	Scanner trigger received
546.9057 	INFO 	Scanner trigger received
547.8911 	INFO 	Scanner trigger received
548.8881 	INFO 	Scanner trigger received
549.8855 	INFO 	Scanner trigger received
550.8845 	INFO 	Scanner trigger received
551.8858 	INFO 	Scanner trigger received
552.8931 	INFO 	Scanner trigger received
553.8904 	INFO 	Scanner trigger received
554.8891 	INFO 	Scanner trigger received
555.8841 	INFO 	Scanner trigger received
556.8981 	INFO 	Scanner trigger received
557.8947 	INFO 	Scanner trigger received
558.8933 	INFO 	Scanner trigger received
559.8862 	INFO 	Scanner trigger received
560.9026 	INFO 	Scanner trigger received
561.8997 	INFO 	Scanner trigger received
562.8967 	INFO 	Scanner trigger received
563.8894 	INFO 	Scanner trigger received
564.9080 	INFO 	Scanner trigger received
565.9048 	INFO 	Scanner trigger received
566.9027 	INFO 	Scanner trigger received
567.8943 	INFO 	Scanner trigger received
568.9122 	INFO 	Scanner trigger received
569.9097 	INFO 	Scanner trigger received
570.9065 	INFO 	Scanner trigger received
